ticker,name,sector,first_date,last_date,n_days,short_history,active
1830.SR,Leejam Sports Co.,Consumer Discretionary,2018-09-10,2026-09-22,2020,False,True
1831.SR,Maharah Human Resources Co.,Industrials,2019-06-18,2026-09-22,1822,False,True
2001.SR,Methanol Chemicals Co.,Materials,2008-09-16,2026-09-22,4502,False,True
2010.SR,Saudi Basic Industries Corp.,Materials,2001-12-31,2026-09-22,6403,False,True
2020.SR,Saudi Arabian Fertilizer Co.,Materials,2001-12-31,2026-09-22,6402,False,True
2030.SR,Saudi Arabia Refineries Co.,Energy,2002-01-23,2026-09-22,6102,False,True
2040.SR,Saudi Ceramic Co.,Industrials,2001-12-31,2026-09-22,6234,False,True
2050.SR,Savola Group,Consumer Staples,2001-12-31,2026-09-22,6403,False,True
2060.SR,National Industrialization Co.,Materials,2001-12-31,2026-09-22,6403,False,True
2070.SR,Saudi Pharmaceutical Industries and Medical Appliances Corp.,Health Care,2001-12-31,2026-09-22,6402,False,True
2080.SR,National Gas and Industrialization Co.,Utilities,2001-12-31,2026-09-22,6404,False,True
2090.SR,National Gypsum Co.,Materials,2001-12-31,2026-09-22,6275,False,True
2100.SR,Wafrah for Industry and Development Co.,Consumer Staples,2001-12-31,2026-09-22,6360,False,True
2110.SR,Saudi Cable Co.,Industrials,2001-12-31,2026-09-22,6395,False,True
2120.SR,Saudi Advanced Industries Co.,Financials,2002-01-01,2026-09-22,6239,False,True
2130.SR,Saudi Industrial Development Co.,Consumer Discretionary,2001-12-31,2026-09-22,6398,False,True
2140.SR,Al-Ahsa Development Co.,Industrials,2001-12-31,2026-09-22,6400,False,True
2150.SR,The National Company for Glass Industries,Materials,2001-12-31,2026-09-22,6155,False,True
2160.SR,Saudi Arabian Amiantit Co.,Industrials,2001-12-31,2026-09-22,6370,False,True
2170.SR,Alujain Holding Corp.,Materials,2001-12-31,2026-09-22,6398,False,True
2180.SR,Filing and Packing Materials Manufacturing Co.,Materials,2002-02-16,2026-09-22,5905,False,True
2190.SR,Saudi Industrial Services Co.,Industrials,2002-02-03,2026-09-22,6148,False,True
2200.SR,Arabian Pipes Co.,Materials,2002-06-05,2026-09-22,5853,False,True
2210.SR,Nama Chemicals Co.,Materials,2001-12-31,2026-09-22,6331,False,True
2220.SR,National Metal Manufacturing and Casting Co.,Materials,2002-01-01,2026-09-22,6160,False,True
2222.SR,Saudi Arabian Oil Co.,Energy,2019-12-11,2026-09-22,1697,False,True
2230.SR,Saudi Chemical Co.,Health Care,2002-05-26,2026-09-22,6185,False,True
2240.SR,Zamil Industrial Investment Co.,Materials,2002-02-13,2026-09-22,6269,False,True
2250.SR,Saudi Industrial Investment Group,Materials,2004-02-15,2026-09-22,5769,False,True
2270.SR,Saudia Dairy and Foodstuff Co.,Consumer Staples,2005-05-23,2026-09-22,5385,False,True
2280.SR,Almarai Co.,Consumer Staples,2005-08-17,2026-09-22,5311,False,True
2290.SR,Yanbu National Petrochemical Co.,Materials,2006-02-20,2026-09-22,5164,False,True
2300.SR,Saudi Paper Manufacturing Co.,Materials,2006-06-14,2026-09-22,5071,False,True
2310.SR,Sahara International Petrochemical Co.,Materials,2006-11-11,2026-09-22,4970,False,True
2320.SR,Al-Babtain Power and Telecommunication Co.,Industrials,2006-12-12,2026-09-22,4947,False,True
2330.SR,Advanced Petrochemical Co.,Materials,2007-01-20,2026-09-22,4926,False,True
2340.SR,Al Abdullatif Industrial Investment Co.,Consumer Discretionary,2007-02-03,2026-09-22,4915,False,True
2350.SR,Saudi Kayan Petrochemical Co.,Materials,2007-06-23,2026-09-22,4815,False,True
2360.SR,Saudi Vitrified Clay Pipes Co.,Industrials,2007-05-26,2026-09-22,4835,False,True
2370.SR,Middle East Specialized Cables Co.,Industrials,2007-12-08,2026-09-22,4701,False,True
2380.SR,Rabigh Refining and Petrochemical Co.,Energy,2008-01-27,2026-09-22,4669,False,True
3002.SR,Najran Cement Co.,Materials,2012-05-12,2026-09-22,3595,False,True
3003.SR,City Cement Co.,Materials,2012-10-13,2026-09-22,3491,False,True
3004.SR,Northern Region Cement Co.,Materials,2013-02-05,2026-09-22,3413,False,True
3005.SR,Umm Al-Qura Cement Co.,Materials,2014-06-12,2026-09-22,3074,False,True
3007.SR,Zahrat Al Waha for Trading Co.,Materials,2017-09-17,2026-09-22,2266,False,True
3008.SR,Al Kathiri Holding Co.,Materials,2017-07-09,2026-09-22,2300,False,True
3010.SR,Arabian Cement Co.,Materials,2001-12-31,2026-09-22,6394,False,True
3020.SR,Yamama Cement Co.,Materials,2001-12-31,2026-09-22,6376,False,True
3030.SR,Saudi Cement Co.,Materials,2001-12-31,2026-09-22,6401,False,True
3040.SR,Qassim Cement Co.,Materials,2001-12-31,2026-09-22,6345,False,True
3050.SR,Southern Province Cement Co.,Materials,2001-12-31,2026-09-22,6387,False,True
3060.SR,Yanbu Cement Co.,Materials,2001-12-31,2026-09-22,6400,False,True
3080.SR,Eastern Province Cement Co.,Materials,2001-12-31,2026-09-22,6394,False,True
3090.SR,Tabuk Cement Co.,Materials,2001-12-31,2026-09-22,6401,False,True
3091.SR,Al Jouf Cement Co.,Materials,2010-08-11,2026-09-22,4027,False,True
4001.SR,Abdullah Al Othaim Markets Co.,Consumer Staples,2008-07-14,2026-09-22,4548,False,True
4002.SR,Mouwasat Medical Services Co.,Health Care,2009-09-02,2026-09-22,4261,False,True
4003.SR,United Electronics Co.,Consumer Discretionary,2011-12-24,2026-09-22,3695,False,True
4004.SR,Dallah Healthcare Co.,Health Care,2012-12-17,2026-09-22,3450,False,True
4005.SR,National Medical Care Co.,Health Care,2013-03-13,2026-09-22,3387,False,True
